character,order,speaker_name,style_name,style_id,speedScale,intonationScale,tempoDynamicsScale,pitchScale,volumeScale,prePhonemeLength,postPhonemeLength,notes
エリ,3,るな,ノーマル,345585728,0.95,0.72,0.78,-0.02,1.0,0.08,0.2,新規女性・低温候補(新)
エリ,4,まお,ノーマル,888753760,0.95,0.72,0.76,-0.018,1.0,0.08,0.2,標準女性候補(新)
エリ,5,まお,せつなめ,888753765,0.94,0.68,0.72,-0.02,1.0,0.08,0.2,憂い低温候補(新)
エリ,6,コハク,せつなめ,1878365378,0.93,0.66,0.7,-0.02,1.0,0.08,0.2,クール低温候補(新)
エリ,7,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),kanasimi_kanasimi,808373281,0.95,0.7,0.74,-0.02,1.0,0.08,0.2,抑えた低温候補(新)
エリ,8,中2,ノーマル,604166016,0.95,0.72,0.78,-0.01,1.0,0.08,0.2,中2をエリ枠で試す(新・指定)
エリ,9,F1,ノーマル,1236214272,0.95,0.72,0.78,-0.02,1.0,0.08,0.2,F1(女声1)をエリ枠で試す(新・指定)
エリ,10,F2,ノーマル,1670137088,0.95,0.72,0.78,-0.02,1.0,0.08,0.2,F2(女声2)をエリ枠で試す(新・指定)
第十三レジ,1,阿井田 茂,ノーマル,1310138976,0.9,0.5,0.55,-0.04,1.0,0.08,0.25,無機質案内候補(新)
第十三レジ,2,阿井田 茂,Far,1310138978,0.88,0.45,0.5,-0.04,1.0,0.08,0.25,遠い端末候補(新)
第十三レジ,3,阿井田 茂,Mid,1310138980,0.9,0.5,0.52,-0.04,1.0,0.08,0.25,中庸端末候補(新)
第十三レジ,4,澤原 玄二郎,ノーマル,2029042368,0.9,0.5,0.52,-0.04,1.0,0.08,0.25,端末音声候補(新)
第十三レジ,5,澤原 玄二郎,close,2029042369,0.9,0.5,0.52,-0.04,1.0,0.08,0.25,近接端末候補(新)
第十三レジ,6,fumifumi,ノーマル,606865152,0.9,0.45,0.5,-0.04,1.0,0.08,0.25,中性端末候補(新)
第十三レジ,7,コハク,ノーマル,1878365376,0.9,0.45,0.5,-0.04,1.0,0.08,0.25,低温合成音候補(新)
未来の会社員,1,阿井田 茂,ノーマル,1310138976,0.94,0.78,0.78,-0.03,1.0,0.08,0.22,標準疲労会社員候補(新)
未来の会社員,2,阿井田 茂,Far,1310138978,0.93,0.72,0.74,-0.04,1.0,0.08,0.22,力ない遠さ候補(新)
未来の会社員,3,阿井田 茂,Surprise,1310138982,0.95,0.82,0.82,-0.03,1.0,0.08,0.22,控えめ動揺候補(新)
未来の会社員,4,澤原 玄二郎,far,2029042371,0.94,0.76,0.76,-0.03,1.0,0.08,0.22,疲れた距離候補(新)
未来の会社員,5,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,若め会社員候補(新)
未来の会社員,6,Lux,ノーマル,2031733024,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,若め会社員候補2(新)
未来の会社員,7,猩々博士 (雑談ボイス),ノーマル,5306848,0.93,0.72,0.74,-0.03,1.0,0.08,0.22,くたびれ中年候補(新)
座木山辰哉,1,阿井田 茂,ノーマル,1310138976,0.91,0.68,0.7,-0.04,1.0,0.1,0.25,標準常連候補(新)
座木山辰哉,2,阿井田 茂,Mid,1310138980,0.91,0.68,0.7,-0.04,1.0,0.1,0.25,中庸常連候補(新)
座木山辰哉,3,阿井田 茂,Far,1310138978,0.9,0.65,0.68,-0.04,1.0,0.1,0.25,遠いとぼけ候補(新)
座木山辰哉,4,澤原 玄二郎,ノーマル,2029042368,0.91,0.68,0.7,-0.04,1.0,0.1,0.25,中年常連候補(新)
座木山辰哉,5,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.9,0.66,0.68,-0.04,1.0,0.1,0.25,飄々常連候補(新)
座木山辰哉,6,fumifumi,ノーマル,606865152,0.9,0.66,0.68,-0.03,1.0,0.1,0.25,力抜け常連候補(新)
座木山辰哉,7,Lux,ノーマル,2031733024,0.9,0.66,0.68,-0.03,1.0,0.1,0.25,のんびり常連候補(新)
座木山辰哉,8,TANAKA,ノーマル,1628969216,0.9,0.68,0.7,-0.04,1.0,0.1,0.25,TANAKAを座木山枠で試す(新・指定)
汗田竜司,1,阿井田 茂,Calm,1310138977,0.93,0.78,0.8,-0.04,1.0,0.1,0.25,落ち着いた技術者(本命寄り)
汗田竜司,2,阿井田 茂,ノーマル,1310138976,0.94,0.82,0.82,-0.03,1.0,0.1,0.25,標準・理知的な解説
汗田竜司,3,阿井田 茂,Mid,1310138980,0.94,0.8,0.82,-0.03,1.0,0.1,0.25,説明向き中庸
汗田竜司,4,阿井田 茂,Heavy,1310138979,0.92,0.72,0.75,-0.05,1.0,0.1,0.25,重み・貫禄
汗田竜司,5,澤原 玄二郎,ノーマル,2029042368,0.93,0.8,0.8,-0.04,1.0,0.1,0.25,渋め中年男性
汗田竜司,6,澤原 玄二郎,close,2029042369,0.93,0.8,0.82,-0.04,1.0,0.1,0.25,近接で語りかけ
汗田竜司,7,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.92,0.78,0.78,-0.04,1.0,0.1,0.25,理屈っぽい解説口調
